TAIL	HEAD	COMP	WEIGHT	ECOLOR	WIDTH	ELABEL
r1	r0	1	1.1	580100	   1.02	
s5	r1	1	1	580100	   1.00	
r2	r1	1	0.6	985304	   0.88	
r3	r2	1	1	580100	   1.00	
s6	r2	1	1	580100	   1.00	
s1	r2	1	1	580100	   1.00	
r4	r3	1	1.4	580100	   1.09	
s7	r3	1	2.2	580100	   1.22	
r5	r4	1	1.3	580100	   1.07	
s8	r4	1	1	580100	   1.00	
r6	r5	1	2.7	580100	   1.28	
r7	r6	1	1.5	580100	   1.11	
r8	r7	1	1.3	580100	   1.07	
s0	r8	1	1.7	580100	   1.14	
s9	s0	1	1.7	580100	   1.14	
s6	s0	1	1	580100	   1.00	
s4	s0	1	0.3	998232	   0.74	
s3	s0	1	1.2	580100	   1.05	
s8	s0	1	0.7	964101	   0.91	
s2	s1	1	1.2	580100	   1.05	
s5	s2	1	1.5	580100	   1.11	
s7	s5	1	1	580100	   1.00	
g1	g0	2	1.3	580100	   1.07	
g2	g0	2	1	580100	   1.00	
g3	g1	2	1.5	580100	   1.11	
g5	g1	2	1.2	580100	   1.05	
g6	g3	2	2.1	580100	   1.20	
g5	g3	2	1.3	580100	   1.07	
g6	g5	2	1.2	580100	   1.05	
g6	g2	2	1.7	580100	   1.14	
g3	g2	2	1.1	580100	   1.02	
x3	x0	3	1.3	580100	   1.07	
x4	x0	3	1.6	580100	   1.12	
x2	x3	3	1.5	580100	   1.11	
x1	x3	3	1.3	580100	   1.07	
x2	x4	3	2.2	580100	   1.22	
x3	x4	3	1.7	580100	   1.14	
x4	x1	3	1.8	580100	   1.16	
x0	x1	3	1.7	580100	   1.14	
x0	x2	3	1.9	580100	   1.17	
x1	x2	3	0.4	997420	   0.80	
