NAME	COMP	DGR_IN	DGR_OUT	DEGREE	STN_IN	STN_OUT	STRENG	X	Y	SIZE	VCOLOR	SHAPE	PATTERN	VLABEL
r0	1	1	0	1	   1.10	   0.00	   1.10	   0.00	   4.67	   0.83	999358	circle		r0
r1	1	2	1	3	   1.60	   1.10	   2.70	   2.55	   3.66	   0.96	997420	circle		r1
r2	1	3	1	4	   3.00	   0.60	   3.60	   5.08	   4.08	   1.01	985304	circle		r2
r3	1	2	1	3	   3.60	   1.00	   4.60	   7.37	   1.86	   1.06	997420	circle		r3
r4	1	2	1	3	   2.30	   1.40	   3.70	  10.24	   2.73	   1.02	997420	circle		r4
r5	1	1	1	2	   2.70	   1.30	   4.00	  13.25	   2.40	   1.03	998742	circle		r5
r6	1	1	1	2	   1.50	   2.70	   4.20	  15.48	   3.69	   1.04	998742	circle		r6
r7	1	1	1	2	   1.30	   1.50	   2.80	  15.06	   6.42	   0.96	998742	circle		r7
r8	1	1	1	2	   1.70	   1.30	   3.00	  12.62	   8.17	   0.98	998742	circle		r8
s0	1	5	1	6	   4.90	   1.70	   6.60	   9.62	   8.90	   1.15	580100	circle		s0
s1	1	1	1	2	   1.20	   1.00	   2.20	   2.34	   2.14	   0.92	998742	circle		s1
s2	1	1	1	2	   1.50	   1.20	   2.70	   0.88	   0.00	   0.96	998742	circle		s2
s3	1	0	1	1	   0.00	   1.20	   1.20	   9.03	  11.34	   0.84	999358	circle		s3
s4	1	0	1	1	   0.00	   0.30	   0.30	   7.49	  10.27	   0.74	999358	circle		s4
s5	1	1	2	3	   1.00	   2.50	   3.50	   3.10	   0.49	   1.00	997420	circle		s5
s6	1	0	2	2	   0.00	   2.00	   2.00	   6.76	   7.14	   0.91	998742	circle		s6
s7	1	0	2	2	   0.00	   3.20	   3.20	   5.99	   0.28	   0.99	998742	circle		s7
s8	1	0	2	2	   0.00	   1.70	   1.70	   9.84	   5.83	   0.88	998742	circle		s8
s9	1	0	1	1	   0.00	   1.70	   1.70	  10.81	  11.40	   0.88	999358	circle		s9
g0	2	2	0	2	   2.30	   0.00	   2.30	   0.00	   2.90	   0.93	998742	circle		g0
g1	2	2	1	3	   2.70	   1.30	   4.00	   2.84	   4.38	   1.03	997420	circle		g1
g2	2	2	1	3	   2.80	   1.00	   3.80	   1.39	   0.30	   1.02	997420	circle		g2
g3	2	2	2	4	   3.40	   2.60	   6.00	   3.64	   2.16	   1.12	985304	circle		g3
g5	2	1	2	3	   1.20	   2.50	   3.70	   5.54	   3.08	   1.02	997420	circle		g5
g6	2	0	3	3	   0.00	   5.00	   5.00	   4.28	   0.00	   1.08	997420	circle		g6
x0	3	2	2	4	   2.90	   3.60	   6.50	   2.03	   0.00	   1.14	985304	circle		x0
x1	3	2	2	4	   3.50	   1.70	   5.20	   0.00	   1.53	   1.09	985304	circle		x1
x2	3	2	2	4	   2.30	   3.70	   6.00	   4.07	   1.18	   1.12	985304	circle		x2
x3	3	2	2	4	   2.80	   3.00	   5.80	   3.15	   2.99	   1.11	985304	circle		x3
x4	3	2	2	4	   3.90	   3.40	   7.30	   1.50	   3.17	   1.17	985304	circle		x4
