TAIL	HEAD	COMP	WEIGHT	ECOLOR	WIDTH	ELABEL
a0	a1	1	1	580100	   1.00	
a8	a10	1	1	580100	   1.00	
a6	a11	1	1	580100	   1.00	
a10	a12	1	1	580100	   1.00	
a0	a13	1	1	580100	   1.00	
a0	a14	1	1	580100	   1.00	
a8	a15	1	1	580100	   1.00	
a14	a16	1	1	580100	   1.00	
a3	a17	1	1	580100	   1.00	
a3	a18	1	1	580100	   1.00	
a15	a19	1	1	580100	   1.00	
a1	a2	1	1	580100	   1.00	
a2	a20	1	1	580100	   1.00	
a19	a21	1	1	580100	   1.00	
a3	a22	1	1	580100	   1.00	
a15	a23	1	1	580100	   1.00	
a17	a24	1	1	580100	   1.00	
a2	a25	1	1	580100	   1.00	
a23	a26	1	1	580100	   1.00	
a1	a27	1	1	580100	   1.00	
a18	a28	1	1	580100	   1.00	
a28	a29	1	1	580100	   1.00	
a2	a3	1	1	580100	   1.00	
a7	a30	1	1	580100	   1.00	
a0	a4	1	1	580100	   1.00	
a2	a5	1	1	580100	   1.00	
a3	a6	1	1	580100	   1.00	
a5	a7	1	1	580100	   1.00	
a5	a8	1	1	580100	   1.00	
a6	a9	1	1	580100	   1.00	
