NAME	COMP	DGR_IN	DGR_OUT	DEGREE	STN_IN	STN_OUT	STRENG	X	Y	SIZE	VCOLOR	SHAPE	PATTERN	VLABEL
a0	1	0	4	4	   0.00	   4.00	   4.00	  16.03	   2.62	   1.16	953500	circle		a0
a1	1	1	2	3	   1.00	   2.00	   3.00	  13.88	   4.89	   1.09	996607	circle		a1
a10	1	1	1	2	   1.00	   1.00	   2.00	   5.76	   7.99	   1.02	998539	circle		a10
a11	1	1	0	1	   1.00	   0.00	   1.00	  12.20	  16.15	   0.92	999358	circle		a11
a12	1	1	0	1	   1.00	   0.00	   1.00	   4.66	   9.36	   0.92	999358	circle		a12
a13	1	1	0	1	   1.00	   0.00	   1.00	  14.81	   0.63	   0.92	999358	circle		a13
a14	1	1	1	2	   1.00	   1.00	   2.00	  18.07	   2.88	   1.02	998539	circle		a14
a15	1	1	2	3	   1.00	   2.00	   3.00	   4.09	   3.99	   1.09	996607	circle		a15
a16	1	1	0	1	   1.00	   0.00	   1.00	  20.18	   2.48	   0.92	999358	circle		a16
a17	1	1	1	2	   1.00	   1.00	   2.00	  13.83	  10.96	   1.02	998539	circle		a17
a18	1	1	1	2	   1.00	   1.00	   2.00	   9.11	  13.46	   1.02	998539	circle		a18
a19	1	1	1	2	   1.00	   1.00	   2.00	   3.90	   1.81	   1.02	998539	circle		a19
a2	1	1	4	5	   1.00	   4.00	   5.00	  11.50	   7.59	   1.21	580100	circle		a2
a20	1	1	0	1	   1.00	   0.00	   1.00	   9.72	   7.24	   0.92	999358	circle		a20
a21	1	1	0	1	   1.00	   0.00	   1.00	   3.48	   0.00	   0.92	999358	circle		a21
a22	1	1	0	1	   1.00	   0.00	   1.00	   8.88	   9.68	   0.92	999358	circle		a22
a23	1	1	1	2	   1.00	   1.00	   2.00	   2.11	   4.18	   1.02	998539	circle		a23
a24	1	1	0	1	   1.00	   0.00	   1.00	  15.55	  11.12	   0.92	999358	circle		a24
a25	1	1	0	1	   1.00	   0.00	   1.00	  13.23	   8.54	   0.92	999358	circle		a25
a26	1	1	0	1	   1.00	   0.00	   1.00	   0.00	   4.43	   0.92	999358	circle		a26
a27	1	1	0	1	   1.00	   0.00	   1.00	  12.56	   3.29	   0.92	999358	circle		a27
a28	1	1	1	2	   1.00	   1.00	   2.00	   8.03	  15.00	   1.02	998539	circle		a28
a29	1	1	0	1	   1.00	   0.00	   1.00	   7.14	  16.81	   0.92	999358	circle		a29
a3	1	1	4	5	   1.00	   4.00	   5.00	  11.18	  11.01	   1.21	580100	circle		a3
a30	1	1	0	1	   1.00	   0.00	   1.00	   9.61	   0.94	   0.92	999358	circle		a30
a4	1	1	0	1	   1.00	   0.00	   1.00	  16.28	   0.77	   0.92	999358	circle		a4
a5	1	1	2	3	   1.00	   2.00	   3.00	   9.76	   5.53	   1.09	996607	circle		a5
a6	1	1	2	3	   1.00	   2.00	   3.00	  12.15	  13.95	   1.09	996607	circle		a6
a7	1	1	1	2	   1.00	   1.00	   2.00	   9.80	   3.07	   1.02	998539	circle		a7
a8	1	1	2	3	   1.00	   2.00	   3.00	   6.82	   5.77	   1.09	996607	circle		a8
a9	1	1	0	1	   1.00	   0.00	   1.00	  13.98	  14.75	   0.92	999358	circle		a9
